"x"
"1" "LEADERS	That  SHOULD  be a cause for celebration on both sides of the border"
"1493" "LEADERS	It may also be dangerous, because it will offer cover for governments to keep up their fiscal retrenchment at a time when they  SHOULD  be doing the opposite"
"1494" "LEADERS	Speaking in Washington last month, Mr Draghi declared that European governments with fiscal space  SHOULD  use it"
"1495" "LEADERS	Instead of massacring services or welfare, the government  SHOULD  trim state pensions, which are up 14%, or £1,100 a head, since 2010"
"1496" "LEADERS	They  SHOULD  pay off some of the debts instead of passing them all on to the young"
"1497" "LETTERS	Mario van GastelAustin, Texas Don't be neutral SIR – As a pro-business publication, I believe that The Economist  SHOULD  be championing the removal of net neutrality (“Not neutral about net neutrality”, November 15th)"
"1498" "LETTERS	Chris GoswamiDirector of marketingOpenwave Mobility Styal, Cheshire    The Catalonia question SIR – You argued that the Spanish government  SHOULD  let the Catalans have a referendum on independence (“Let them vote”, November 15th)"
"1499" "LETTERS	Susan SteinOmaha, Nebraska    Statistical meanies SIR – I agree that “averages  SHOULD  not be the sole basis for making policy decisions” (“Misleading means”, November 22nd)"
"1500" "BRIEFING	And if your idea cannot be scaled up that way,  SHOULD  you not find one that can"
"1501" "BRIEFING	In the 1911 decision which cut Standard Oil into 34 different companies, America’s Supreme Court held that the fate of a dominant company  SHOULD  depend on whether it abused its dominance to the detriment of consumers"
"1502" "BRIEFING	One of the company’s executives has suggested the firm  SHOULD  consider spending $1m to dig up dirt on its media critics (he later apologised)"
"1503" "BRIEFING	Governments  SHOULD  not be messing around with a dynamic success which promises only ever higher levels of innovation"
"1504" "BRIEFING	And  SHOULD  it show signs of coming to pass, the current antitrust skirmishes will give way to an epic battle on the scale of the one against Standard Oil"
"1505" "BRIEFING	“If we will not endure a king as a political power,” said John Sherman, the senator who gave his name to America’s original antitrust law, “we  SHOULD  not endure a king over the production, transportation and sale of any of the necessaries of life"
"1506" "AMERICAS	More than two-thirds of voters think Mr Maduro  SHOULD  not serve out his six-year term, which began just last year (see chart); more than a quarter of those are supporters of the government"
"1507" "AMERICAS	In order to minimise the impact on jobs, Mr Barbosa has said this  SHOULD  happen gradually and "
"1508" "CHINA	He reckons Yunnan  SHOULD  be the centre of a new Asia; parts of the province are closer to Singapore and Thailand than to China’s eastern seaboard"
"1509" "CHINA	A railway line between Kunming and Hekou, on the border with Vietnam,  SHOULD  be finished next year"
"1510" "EUROPE	Yet it was Hubert Védrine, a former Socialist foreign minister who coined the term “hyperpower” to disparage American unilateralism, who concluded in a report for Mr Hollande two years ago that France  SHOULD  stay in NATO’s military command"
"1511" "EUROPE	Yet the gains from a settlement  SHOULD  still appeal"
"1512" "EUROPE	It will run for three years;  SHOULD  it prove successful it may be given another three"
"1513" "BRITAIN	Mr Cameron and Mr Miliband  SHOULD  treat UKIP as the normal party it claims to be and rip to shreds the inconsistencies and illiberalities in its policies"
"1514" "INTERNATIONAL	Four years old, she is just 10kg (22lb), two-thirds of what she  SHOULD  be"
"1515" "BUSINESS	In all there are a number of reasons why passengers  SHOULD  be able to look forward to flying longer for less"
"1516" "BUSINESS	When the skies are filled with swarms of them, fares  SHOULD  hit rock-bottom and Laker’s dream may finally come true"
"1517" "BUSINESS	Their critics say they  SHOULD  invest more in storage and backup technologies, so they can cope at times when solar plants are not producing enough power to meet demand"
"1518" "BUSINESS	However, Jack Curtis, an executive at the firm, predicts a shake-out, and says METI  SHOULD  be stricter in screening out unviable projects"
"1519" "BUSINESS	Japan’s government  SHOULD  have anticipated the problems it is having with its drive for renewables"
"1520" "BUSINESS	METI  SHOULD  have learned from Germany’s mistakes by being less generous with its guaranteed tariffs for renewables producers and by ensuring that the transmission grid was modernised to prepare for their arrival"
"1521" "BUSINESS	Ideally the ministry  SHOULD  have created a separate grid operator, independent of the big power utilities, says Tom O’Sullivan, a consultant in Tokyo"
"1522" "BUSINESS	And of all the middlemen it  SHOULD  have wiped out by now, estate agents are among the least popular"
"1523" "BUSINESS	Instead, says Mr Tichy, they  SHOULD  take control of the succession, and make it a continuing process, not a hastily organised talent show staged once in a blue moon"
"1524" "BUSINESS	They  SHOULD  subject promising executives to a succession of jobs that will test their ability and develop their knowledge"
"1525" "BUSINESS	They  SHOULD  also use the succession struggle as a way of spurring innovation rather than, as is so often the case, a source of dissension: by putting potential successors in charge of new projects a CEO can accelerate corporate change as well as testing their mettle"
"1526" "BUSINESS	Joseph Bower of Harvard Business School suggests that boards  SHOULD  pay more attention to “insider-outsiders”: strong candidates who know enough of the company’s ways to ensure continuity but have outside experience, either at other firms or at some distant outpost of the business, a long way from head-office groupthink"
"1527" "LEADERS	In this sectionSheikhs v shale Make haste slowly Abe’s last chance A suburban world Free the drones Reprints     Fuel injection Cheaper oil  SHOULD  act like a shot of adrenalin to global growth"
"1528" "LEADERS	Since this money is likely to be spent rather than stashed in a sovereign-wealth fund, global GDP  SHOULD  rise"
"1529" "LEADERS	That  SHOULD  soon crimp supply, causing prices to rise"
"1530" "LEADERS	But, absent such an event, the oil price  SHOULD  be less vulnerable to shocks or manipulation"
"1531" "LEADERS	That  SHOULD  reduce the volatility not just of the oil price but also of the world economy"
"1532" "LEADERS	At least one of them  SHOULD  in future be a bit more stable"
"1533" "LEADERS	China’s rule-setting apparatus is also unaccountable and murky, and ambitious targets for a risky technology  SHOULD  ring warning bells"
"1534" "LEADERS	China  SHOULD  slow its nuclear ambitions to a pace its regulators can keep up with, and build its reactors using the best existing technology—which happens to be Western"
"1535" "LEADERS	What  SHOULD  governments do about it"
"1536" "LEADERS	We  SHOULD  all look forward to the time when Chinese and Indian teenagers write sulky songs about the appalling dullness of suburbia"
"1537" "LEADERS	The rules  SHOULD  also vary according to location, since surveying the outside of a building in a city is more hazardous than flying over a field"
"1538" "LEADERS	It  SHOULD  take a more objective view, and free commercial drones"
"1539" "AMERICAS	Colombia’s right-wing opposition says it is the guerrillas who  SHOULD  stop shooting"
"1540" "AMERICAS	Whether their political will is strong enough to bring about agreement on the terms of peace  SHOULD  soon become clear"
"1541" "AMERICAS	Luis de la Calle, an economist, says that Mr Peña’s judicial reforms  SHOULD  target politicians’ vested interests, just as the economic reforms targeted those of big business"
"1542" "AMERICAS	The region is unanimous in believing that, notwithstanding its Communist regime, the island  SHOULD  be accorded a normal place in relations in the Americas"
"1543" "ASIA	Winning the election, he says,  SHOULD  lend his government the strength to deal with both"
"1544" "CHINA	On December 2nd an editorial in Global Times, a newspaper in Beijing, said that Hong Kong  SHOULD  manage its own problems"
"1545" "EUROPE	EU leaders’ renewed attention to Moldova, prompted by the war in neighbouring Ukraine,  SHOULD  provide some incentive"
"1546" "EUROPE	And he promised that,  SHOULD  he be asked to form a new government, he will continue to freeze them out"
"1547" "EUROPE	So it is fitting that this week Donald Tusk, who oversaw much of Poland’s progress as prime minister between 2007 and 2014,  SHOULD  become the first politician from “new Europe” to move into one of the EU’s top jobs"
"1548" "BRITAIN	” The answer is simpler, says Mr Cheshire: the government  SHOULD  amend planning regulations to allow construction on the green belt"
"1549" "BRITAIN	His government has also shown that coalition rule, which Britons  SHOULD  get used to, works pretty well"
"1550" "INTERNATIONAL	But Mr Kenyatta has stirred up an array of fellow African leaders, some of whom insist that sitting rulers  SHOULD  have immunity"
"1551" "INTERNATIONAL	But the old argument between those who think justice  SHOULD  supersede peace and those who fret that an insistence on justice can impede peace is unresolved"
"1552" "INTERNATIONAL	A group of African countries said this week that mitigation (ie, emissions cuts) and adaptation  SHOULD  have “material and legal parity” in the new treaty"
"1553" "INTERNATIONAL	That may help defuse the argument about whether the INDC targets  SHOULD  be legally binding, as Europe wants but America does not"
"1554" "INTERNATIONAL	The approach now is to put some cards on the table in advance, trying to build a flexible treaty based on known commitments, which  SHOULD  be more politically viable"
